Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
Senegal;47.52;45.83;44.48;44.72;40.8;41.23;44.2;40.63;40.47;51.96;50.26;48.66;50.37;43.59;43.36;42.71
Serbia;23.59;21.16;19.08;16.26;14.87;16.37;15.69;14.29;15.57;20.82;20.6;17.55;19.61;20.23;23.43;21.17
Seychelles;0.57;0.51;0.56;0.53;0.4;0.38;0.35;0.43;0.38;0.51;0.63;0.96;0.63;1.29;1.3;1.35
Sierra Leone;89.28;87.17;87.13;85.69;85.74;87.25;83.39;85.56;85.27;85.39;84.18;80.35;78.43;75.22;73.05;77.66
Singapore;0.33;0.6;0.58;0.58;0.53;0.54;0.52;0.5;0.53;0.48;0.48;0.47;0.5;0.56;0.62;0.71
Slovakia;3.73;6;5.48;5.35;6.25;6.31;6.57;8.23;7.63;10;10.28;10.36;10.47;10.68;12.24;13.41
Slovenia;15.86;14.99;14.1;14.18;15.41;14.57;14.41;14.09;13.85;19.03;19.5;18.59;19.7;22.01;22.3;20.88
Solomon Islands;66.9;66.55;66.5;65.21;65.75;67.08;66.46;64.01;64.3;64.01;63.49;63.67;63.53;63.43;62.99;63.31
Somalia;93.28;93.26;92.58;92.8;93;93.3;93.47;93.02;93.37;93.63;93.57;93.65;93.89;94.23;94.43;94.29
South Africa;18.51;19.12;18.32;17.51;16.76;16.25;16.37;15.81;15.99;15.57;17.08;16.98;16.63;16.1;16.59;17.15
South Korea;0.7;0.69;0.7;0.85;0.77;0.87;0.95;1.02;1.06;1.21;1.31;1.35;1.61;1.92;2.84;2.71
South Sudan;;;;;;;;;;;;;30.2;29.7;29.83;39.07
Spain;7.88;8.93;7.42;8.9;8.03;7.29;8.47;9.01;9.74;12.22;14.4;14.75;15.77;16.95;17.35;16.25
Sri Lanka;64.16;62.93;62.1;61.3;61.61;60.08;62.17;60.2;61.57;63.51;61.84;59.25;60.69;59.87;57.59;52.88
Sudan;80.42;79.38;76.76;76.98;75.38;72.43;69.35;65.72;63.66;63.28;61.44;63.97;59.82;61.31;62.44;61.6
Suriname;26.47;26.95;31.25;28.28;26;22.12;24.84;27.22;28.46;28.65;24.54;25.45;23.05;25.97;25.38;24.91
Swaziland;48.19;47.82;49.8;49.77;48.83;49.65;62.29;64.73;63.94;64.69;62.68;61.25;62.47;66.71;67.69;66.1
Sweden;40.01;37.66;36.15;34.91;35.82;39.99;41.13;42.92;44.87;47.08;45.98;46.49;49.95;48.83;49.69;53.25
Switzerland;18.63;19.2;18.69;18.56;18.64;19.31;18.66;19.93;20.24;20.75;21.46;21.56;22.96;22.99;23.42;25.29
Syria;2;2.07;1.61;1.91;2.6;2.11;1.83;1.57;1.27;0.93;1.41;1.9;2.52;2.86;2.35;0.52
Tajikistan;62.41;64.07;64.16;64.61;61.43;63.74;61.58;53.8;54.62;60.58;61.83;59.98;55.08;57.92;45.76;44.66
Tanzania;93.72;93.23;92.48;92.38;91.73;91.01;90.9;91.36;91.05;91.64;90.32;88.51;86.35;86.62;86.67;85.71
Thailand;21.99;20.04;20.07;20.34;20.02;20.25;20.69;21.61;22.49;22.66;22.65;22.76;23.29;22.94;24.1;22.86
Timor-Leste;;;48.25;47.85;44.04;43.61;41.9;41.88;39.59;36.78;34.69;32.71;25.51;21.54;18.42;18.22
Togo;77.11;82.06;78.67;74.79;76.14;77.22;79.66;79.94;76.52;63.4;65.83;69.16;72.74;72.4;72.16;71.26
Tonga;2.48;2.7;2.48;2.01;2.15;2.17;1.87;2.17;1.99;1.82;1.01;1.14;1.15;1.58;1.7;1.88
Trinidad;0.76;0.68;0.64;0.6;0.63;0.53;0.62;0.37;0.36;0.4;0.33;0.36;0.32;0.31;0.28;0.28
Tunisia;14.23;14.22;14.55;14.13;13.92;14.18;14.32;14.32;14.61;16.07;12.69;13.33;13.08;13.25;12.93;12.56
