Pays;A2000;A2001;A2002;A2003;A2004;A2005;A2006;A2007;A2008;A2009;A2010;A2011;A2012;A2013;A2014;A2015
United Arab Emirates;115420.51;115018.82;126800.21;134091.69;139999.46;143367.66;151837.32;167986.43;181388.54;182422.17;193127.16;199342.52;204888.72;;;
Uruguay;30375.78;29627.4;30061.09;30911.3;32686.69;32688.88;34035.5;33889.42;34052.25;33509.68;33285.2;33773.77;34237.83;;;
USA;6969123.8;6821235.6;6981786.8;6991255.2;7244271.5;7182808.4;6994086.9;7128951.7;6648991.2;6604068.95;6713348.97;6571653.98;6343840.51;;;
Uzbekistan;165976.9;168462.27;176066.18;173583.48;171337.57;167568.44;173581.79;173888.3;183949.99;173966.22;172722.67;180734.95;177223.75;;;
Vanuatu;462.64;457.1;443.53;441.34;435.05;436.14;431.28;444.51;448.64;426.86;433.77;440.15;446.22;;;
Venezuela;251579.93;265572.48;232788.24;281169.1;258464.94;255157.65;255908.59;280143.82;271197.4;265790.1;268746.2;275683.76;281921.37;;;
Vietnam;155791.92;159962.82;187715.03;190419.29;229221.95;232509.77;234359.25;256396.7;255549.53;266081.85;278994.36;285091.06;310664.07;;;
Virgin Islands, US;43.27;43.89;44.53;45.14;45.72;48.06;49.57;51.75;53.84;56.64;60.21;60.86;61.49;;;
Yemen;24225.18;25210.42;26580.1;28983.22;29514.28;32666.19;34959.45;36225.63;36800.23;37027.2;38865.29;39949.08;40924.63;;;
Zambia;290812.37;297452.76;300362.2;356024.85;368995.7;396446.48;314793.5;341005.67;321163.52;266118.48;319784.63;320024.7;320254.22;;;
